ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
291,Cumplimiento del cronograma de actividades deporti,✅,✅,✅,✅,✅,✅,Ficha Técnica
292,Participación en Actividades deportivas presencial,✅,✅,✅,✅,✅,✅,Ficha Técnica
293,Cumplimiento del cronograma de actividades cultura,✅,✅,✅,✅,✅,✅,Ficha Técnica
294,Participación en actividades culturales presencial,✅,✅,✅,✅,✅,✅,Ficha Técnica
295,Cumplimiento Del Cierre Oportuno De Oportunidades ,✅,✅,✅,✅,✅,✅,Ficha Técnica
296,Cumplimiento de planes de supervisión y monitoreo ,✅,✅,✅,✅,✅,✅,Ficha Técnica
297,N° de riesgos intervenidos,✅,✅,✅,✅,✅,✅,Ficha Técnica
298,N° de riesgos materializados,✅,✅,✅,✅,✅,✅,Ficha Técnica
299,Variación del presupuesto asignado a los proyectos,✅,✅,✅,✅,✅,✅,Ficha Técnica
300,Cumplimiento de Inspecciones de control,✅,✅,✅,✅,✅,✅,Ficha Técnica
301,Cumplimiento plan de trabajo,✅,✅,✅,✅,✅,✅,Ficha Técnica
302,N de solicitudes radicadas,✅,✅,✅,✅,✅,✅,Ficha Técnica
303,Cumplimiento del cronograma de actividades de salu,✅,✅,✅,✅,✅,✅,Ficha Técnica
304,Impacto de Campañas de promoción y prevención,✅,✅,✅,✅,✅,✅,Ficha Técnica
305,Cumplimiento del plan anual de mantenimiento de eq,✅,✅,✅,✅,✅,✅,Ficha Técnica
306,Seguimiento KPI Plan de Desarrollo Institucional,✅,✅,✅,✅,✅,✅,Ficha Técnica
307,Organización de escenarios de visibilidad nacional,✅,✅,✅,✅,✅,✅,Ficha Técnica
308,Movilidad Física Entrantes Profesores,✅,✅,✅,✅,✅,✅,Ficha Técnica
309,Movilidad Física Profesores Salientes,✅,✅,✅,✅,✅,✅,Ficha Técnica
310,Movilidad Física Entrante Estudiantes,✅,✅,✅,✅,✅,✅,Ficha Técnica
311,Movilidad Física Saliente Estudiantes,✅,✅,✅,✅,✅,✅,Ficha Técnica
312,Clases espejo,✅,✅,✅,✅,✅,✅,Ficha Técnica
313,Seminarios y cursos internacionales virtuales impa,✅,✅,✅,✅,✅,✅,Ficha Técnica
314,N de asignaturas COIL - (Collaborative Online Inte,✅,✅,✅,✅,✅,✅,Ficha Técnica
315,Num de programas con convenios de doble titulación,✅,✅,✅,✅,✅,✅,Ficha Técnica
316,Asignaturas con sesiones en segundo idioma,✅,✅,✅,✅,✅,✅,Ficha Técnica
317,Plan De Internacionalización A 7 Años,✅,✅,✅,✅,✅,✅,Ficha Técnica
318,"Convenios, alianzas activas con actividades en los",✅,✅,✅,✅,✅,✅,Ficha Técnica
319,Nivel de cumplimiento de la gestión de internacion,✅,✅,✅,✅,✅,✅,Ficha Técnica
320,Participación docentes Poli en eventos académicos ,✅,✅,✅,✅,✅,✅,Ficha Técnica
321,Participación estudiantes Poli en eventos académic,✅,✅,✅,✅,✅,✅,Ficha Técnica
322,Cumplimiento Total estudiantes antiguos,✅,✅,✅,✅,✅,✅,Ficha Técnica
323,Número de renovaciones de registro calificado apro,✅,✅,✅,✅,✅,✅,Ficha Técnica
324,Número de programas nuevos radicados en el Ministe,✅,✅,✅,✅,✅,✅,Ficha Técnica
325,Número de programas nuevos con registro calificado,✅,✅,✅,✅,✅,✅,Ficha Técnica
326,Número de informes de autoevaluación con fines de ,✅,✅,✅,✅,✅,✅,Ficha Técnica
327,Número de programas con obtención de acreditación ,✅,✅,✅,✅,✅,✅,Ficha Técnica
328,Nivel de encuestas obtenidas en el encuentro insti,✅,✅,✅,✅,✅,✅,Ficha Técnica
541,Participación de graduados en actividades de emple,✅,✅,✅,✅,✅,✅,Ficha Técnica
330,Espacios de apropiación de la política de graduado,✅,✅,✅,✅,✅,✅,Ficha Técnica
331,Nivel de empleabilidad del graduado,✅,✅,✅,✅,✅,✅,Ficha Técnica
332,Índice de rotación,✅,✅,✅,✅,✅,✅,Ficha Técnica
333,Indexación de bases de datos o SIRES,✅,✅,✅,✅,❌,✅,Ficha Técnica
334,Resultado de la evaluación 360 (evaluación por com,✅,✅,✅,✅,✅,✅,Ficha Técnica
335,Cumplimiento de diagnóstico necesidades de capacit,✅,✅,✅,✅,✅,✅,Ficha Técnica
336,Materiales bibliográficos en formato físico con es,✅,✅,✅,✅,✅,✅,Ficha Técnica
337,Número de programas con renovación de acreditación,✅,✅,✅,✅,✅,✅,Ficha Técnica
338,Número de programas con condiciones iniciales apro,✅,✅,✅,✅,✅,✅,Ficha Técnica
339,Programas acreditables acreditados Sede Bogotá,✅,✅,✅,✅,✅,✅,Ficha Técnica
340,Cumplimiento cronograma revisiones locativas,✅,✅,✅,✅,✅,✅,Ficha Técnica
341,Reducción de costos en gestión de abastecimiento,✅,✅,✅,✅,✅,✅,Ficha Técnica
342,% Profesores formados en innovación pedagógica,✅,✅,✅,✅,✅,✅,Ficha Técnica
343,Cumplimiento de la eficacia de las capacitaciones ,✅,✅,✅,✅,✅,✅,Ficha Técnica
344,Cumplimiento del plan de Inducción institucional,✅,✅,✅,✅,✅,✅,Ficha Técnica
345,% de profesores impactados plan de desarrollo doce,✅,✅,✅,✅,✅,✅,Ficha Técnica
346,% de profesores impactados en actividades de Biene,✅,✅,✅,✅,✅,✅,Ficha Técnica
347,Legalizaciones y anticipos,✅,✅,✅,✅,✅,✅,Ficha Técnica
348,Cuentas por pagar,✅,✅,✅,✅,✅,✅,Ficha Técnica
349,N° de redes de investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
350,"Centros de investigación, ciencia y de apoyo a CTI",✅,✅,✅,✅,✅,✅,Ficha Técnica
351,Partidas conciliatorias de bancos,✅,✅,✅,✅,✅,✅,Ficha Técnica
352,Nivel de facturas generadas con error,✅,✅,✅,✅,✅,✅,Ficha Técnica
353,Cobertura de tableros BI en procesos,✅,✅,✅,✅,✅,✅,Ficha Técnica
354,Plan de formación en analitica,✅,✅,✅,✅,✅,✅,Ficha Técnica
355,Indice de liquidez,✅,✅,✅,✅,✅,✅,Ficha Técnica
356,Indice de Endeudamiento,✅,✅,✅,✅,✅,✅,Ficha Técnica
357,Cartera,✅,✅,✅,✅,✅,✅,Ficha Técnica
358,"Nivel de acompañamiento a estudiantes en práctica
",✅,✅,✅,✅,✅,✅,Ficha Técnica
359,Satisfacción Institucional CSAT,✅,✅,✅,✅,✅,✅,Ficha Técnica
360,NPS Employer,✅,✅,✅,✅,✅,✅,Ficha Técnica
361,Índice de Inclusión,✅,✅,✅,✅,✅,✅,Ficha Técnica
362,Aseguramiento de matricula académica presencial,✅,✅,✅,✅,✅,✅,Ficha Técnica
363,Seguimiento a la parametrización de aulas master y,✅,✅,✅,✅,✅,✅,Ficha Técnica
364,Impacto de actividades de Responsabilidad y proyec,✅,✅,✅,✅,✅,✅,Ficha Técnica
365,Seguimiento de asignación docente a NRC Pregrado-P,✅,✅,✅,✅,✅,✅,Ficha Técnica
366,Normalización de cobros pecuniarios,✅,✅,✅,✅,✅,✅,Ficha Técnica
367,Estudiantes con Becas,✅,✅,✅,✅,✅,✅,Ficha Técnica
368,Satisfacción de los estudiantes de Educación para ,✅,✅,✅,✅,✅,✅,Ficha Técnica
369,Participación de POLI- voluntariados (Estudiantes-,✅,✅,✅,✅,✅,✅,Ficha Técnica
370,Oportunidades de mejora - Huella Verde,✅,✅,✅,✅,✅,✅,Ficha Técnica
371,Recaudación de fondos,✅,✅,✅,✅,✅,✅,Ficha Técnica
372,Satisfacción de los clientes corporativos Educació,✅,✅,✅,✅,✅,✅,Ficha Técnica
373,Cumplimiento de planes anuales por líneas,✅,✅,✅,✅,✅,✅,Ficha Técnica
374,Disponibilidad de máster modalidad virtual,✅,✅,✅,✅,✅,✅,Ficha Técnica
375,Disponibilidad de catálogo de asignaturas pregrado,✅,✅,✅,✅,✅,✅,Ficha Técnica
376,Cumplimiento EBITDA,✅,✅,✅,✅,✅,✅,Ficha Técnica
377,CAPEX,✅,✅,✅,✅,✅,✅,Ficha Técnica
378,Proyectos Tecnológicos,✅,✅,✅,✅,✅,✅,Ficha Técnica
379,Total estudiantes nuevos,✅,✅,✅,✅,✅,✅,Ficha Técnica
380,Ingresos de matriculas de estudiantes nuevos,✅,✅,✅,✅,✅,✅,Ficha Técnica
381,Cumplimiento de matrículas pregrado presencial nue,✅,✅,✅,✅,✅,✅,Ficha Técnica
