ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
272,Proporción de accidentes de trabajo mortales,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
273,Número de programas con condiciones iniciales elab,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
274,Cumplimiento total estudiantes antiguos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
275,Satisfacción Institucional por grupo de interes,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
276,Relación Estudiante-Docente Tiempo completo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
277,Relación estudiante docente Tiempo Completo Equiva,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
278,Docentes contratados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
279,Docentes tiempo completo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
280,Docentes medio tiempo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
281,Docentes cátedra,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
282,Docentes evaluados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
283,Resultado evaluación docente,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
284,Número Horas semanales docentes,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
285,Docentes con plan de trabajo asignado,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
286,Total docentes por nivel de estudios,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
287,Número docentes escalafonados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
288,Número docentes escalafonados presentados en convo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
289,Cumplimiento plan de comunicaciones SGC,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
290,Cierre eficaz de las oportunidades de mejora,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
291,Cumplimiento del cronograma de actividades deporti,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
292,Participación en Actividades deportivas presencial,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
293,Cumplimiento del cronograma de actividades cultura,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
294,Participación en actividades culturales presencial,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
295,Cumplimiento Del Cierre De Oportunidades De Mejora,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
296,Cumplimiento de planes de supervisión y monitoreo ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
297,N de riesgos intervenidos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
298,N de riesgos materializados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
300,Cumplimiento de Inspecciones de control,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
301,Cumplimiento plan de trabajo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
