Proceso,Subproceso,Indicador Propuesto
"MERCADEO, ADMISIONES  Y MATRÍCULA",Mercadeo y venta de educación para la vida,"% de propuestas comerciales convertidas en contratos (Propuestas adjudicadas/ Propuestas Presentadas) *100
% de cumplimiento del plan estratégico de mercadeo
Tiempo promedio de cierre de contratos
Ingresos recurrentes por cliente (indicador de fidelización)

Costos de desviación de propuestas"
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,EDITORIAL Y PUBLICACIONES,"Número de publicaciones con visibilidad local, regional, nacional y internacional (indexadas o con DOI)

Tiempo promedio del ciclo editorial (postulación a publicación)

Indexación de publicaciones

Ingresos por ventas o licenciamiento

Costo promedio por publicación

Margen por publicación

% de recuperación de la inversión editorial

Indicador de Indice H"
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,BIBLIOTECA INSTITUCIONAL,"Impacto percibido de los talleres en el desarrollo académico (medido por encuesta)

Índice de uso de recursos digitales

% de estudiantes que utilizan recursos bibliográficos en sus cursos"
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,LEI,No aplica
DOCENCIA,OPERACIONES ACADÉMICAS,No aplica
DOCENCIA,OPERACIÓN DE EDUCACIÓN NO FORMAL,% de proyectos ejecutados según condiciones pactadasTiempo promedio de ejecución por tipo de proyecto% de clientes que contratan nuevamente (indicador de fidelización)
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,CENTRO DE MEDIOS AUDIOVISUALES,No aplica
GESTIÓN DE PORTAFOLIO INSTITUCIONAL,"CREACIÓN, MODIFICACIÓN Y CIERRE DE PROGRAMAS ACADÉMICOS","% de éxito en la radicación y aprobación de programas nuevos y renovaciones

Tiempo promedio de gestión por tipo de trámite (creación, modificación, cierre)

Nivel de cumplimiento del cronograma de trabajo por programa

Nivel de satisfacción de las áreas académicas con el acompañamiento del proceso

% de documentación validada sin requerimientos por parte del MEN"
EXTENSIÓN,GESTIÓN DE LA RESPONSABILIDAD SOCIAL,"Número de alianzas activas con redes de responsabilidad social universitaria

"
GESTIÓN DE PORTAFOLIO INSTITUCIONAL,DISEÑO DE CONTENIDO VIRTUAL,Nivel de satisfacción de docentes y estudiantes con los contenidos virtuales
"MERCADEO, ADMISIONES  Y MATRÍCULA","Inscripción, admisión y matrícula de estudiantes nuevos","Tiempo promedio de admisión y matrícula por estudiante

Nivel de satisfacción de estudiantes nuevos con el proceso de ingreso"
SERVICIO Y PERMANENCIA,REGISTRO Y CONTROL,"Tiempo promedio de emisión de certificados

Nivel de satisfacción de estudiantes con procesos de homologación, certificación y titulación

% de estudiantes titulados dentro del tiempo esperado"
SERVICIO Y PERMANENCIA,SERVICIO,"Nivel de satisfacción con los canales de atención

Tiempo promedio de resolución de solicitudes.

% de cumplimiento del ANS por tipo de solicitud

% de solicitudes resueltas sin escalamiento

Índice de mejora continua en la atención (basado en retroalimentación)"
SERVICIO Y PERMANENCIA,PERMANENCIA,"Nivel de satisfacción con las estrategias de acompañamiento

Tasa de graduación oportuna por cohorte

% de estudiantes en riesgo que continúan tras intervención"
SERVICIO Y PERMANENCIA,Rematrícula,"% de estudiantes rematriculados con apoyo financiero gestionado

Numero de estudiantes recupero (Reintegros)"
BIENESTAR INSTITUCIONAL ,SERVICIO DE SALUD,No aplica
BIENESTAR INSTITUCIONAL ,CULTURA Y DEPORTE,No aplica
