Id,Indicador,Clasificacion,Linea,Periodicidad,Meta,Objetivo,Orden CMI,Nivel
261,CES- Costumer Effort Score del proceso de Saber Pro,Estratégico,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,170.0,Nivel 1
262,Reducción de número de sentencias condenatorias en contra del Poli,Estratégico,Sostenibilidad,Semestral,,Promover una cultura de optimización de recursos financieros como apalancador de la estrategia,249.0,Nivel 1
263,Oportunidad de respuesta de PQRS,Estratégico,Transformación_Organizacional,Trimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,314.0,Nivel 1
264,Eficiencia Emisión De Conceptos Jurídicos (Educación),Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,315.0,Nivel 1
265,Eficiencia Emisión De Conceptos Jurídicos (Jurídicos),Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,316.0,Nivel 1
266,Oportunidad en la elaboración de contratos,Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,317.0,Nivel 1
267,Satisfacción procesos de Homologaciones,Estratégico,Experiencia,Anual,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,171.0,Nivel 1
268,Cantidad de usuarios,Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,318.0,Nivel 1
269,N de personas promedio por evento,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,319.0,Nivel 3
270,N de horas promedio por evento,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,320.0,Nivel 3
271,N de horas por solicitud,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,321.0,Nivel 3
272,Proporción de accidentes de trabajo mortales,Estratégico,Transformación_Organizacional,Anual,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",322.0,Nivel 1
273,Número de programas con condiciones iniciales elaboradas y analizadas institucionalmente,Estratégico,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,89.0,Nivel 1
274,Cumplimiento total estudiantes antiguos,Estratégico,Expansión,Semestral,"En el 2026, alcanzar una población estudiantil superior a 70.000 estudiantes ",Crecer con compromiso social ,25.0,Nivel 1
275,Satisfacción Institucional por grupo de interes,Estratégico,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,172.0,Nivel 1
